lyrics,artist
"Pass away the hours, hear the footsteps of the past Walking up the stairs of time, knowing that I'm trapped Cold winds of indifference persuade a movement south Thinking that it's better there The warmer climes that we seek outPoor bird flies up in the air, never getting anywhere And how much misery can one soul take? Trying to fly away might have been your fist mistake Poor bird flies up int he air Never getting anywherePicking petals off a flower, loves me, loves me not Is love another way to count the things you haven't got? We wish the best to all our friends, young and old alike When the dust has settled in the sky, you can have anything you like",husker du
Walking down a sunny street to the library Checking out the latest books on outer space Going to the fruit stand to buy a dozen oranges Then she and the books and the oranges go back to her placeShe tells the same old story to everyone that she knows She's just sitting in her room reading books about UFOsSometimes I see her sitting on the rooftop Perched in a lawnchair and staring into the sky I know that somewhere in some faraway galaxy That some gray men with telescopes are gazing right into her eyesHer live revolves around all of the planets And she is constantly aware of all the changes that occur I'm going to turn into a lens and focus all my attention On finding a new planet and naming it right after her,husker du
"Avalanche looms overhead Airplane flies overhead Important man sits by the window Sucked out of the first class window Images run by, thousand miles an hour But the time seems far away Folding clothes in a folding closet Folding money in a resumeTime to let off some pressure Time to let off some steam All your notebooks get thrown away And you start your diary clean Crystal glass lined up in a row Watched over by the G.I. Joes Sugar in your coffee doesn't taste quite right Feeling the effects for a hundred thousand nightsWhen civilization falls in its grave Technology throws on the dirt You realize the finest things in life Are the ones that can never be hurtShatters your brain in a million tiny pieces The sounds you hear aren't coming out right You think it might be mystic, you think I might be cryptic The crystal in your china case is breaking in a million tiny pieces",husker du
"She gave her little child a name A ward of welfare she became And then one day she met a man Digging through the trash for cansCharity, chastity, prudence, and hopeIt was his aluminum That attracted her to him And quite a day there did unfold Turning garbage into goldCharity, chastity, prudence, and hopeShe took that money in a trunk And bought a bunch of worthless junk And now they're back where they began Digging through the trash for cansCharity, chastity, prudence, and hope",husker du
"Could you be the one they talk about? Hiding inside, behind another door? Is it only happiness you want? Does wanting a feeling matter any more?It doesn't mean that much to me Sometimes I don't mean that much to you And I don't even know what I'm hiding forAnd I don't even know what I'm crying for Don't even know what I'm hiding forCould you be the one they talk about? Life is a game that only you can make Maybe I'm about to throw it out I've given it all, that's all I can takeCould you be the one Could you be the one Could you be the one that's hanging all aroundDon't even know what I'm hiding for Don't even know what I'm crying for Don't even know, could you be the only Broken hearted one",husker du
"I picked up my belongings in a nylon carry-all I hear the porter call Said  The sky's the limit on this chartered trip away, I guess I'd better stayOut there on the desert, I see trees on every wall Nothing's ever solved Said  The sky's the limit on this chartered trip away, Guess I'd better stay awayI thought I owed myself a trip away I wanted to go to places I have never been away I looked at the pictures, imagine where they lay Away on a beach by the sand, where their clothes all lay awayHorizon is oblivious, chartered trip away Said  There's no returning from this chartered trip away.",husker du
"Brick on your head From the top of the ceiling Urban sniper, urban killer Won't be finished Until you're dead Urban sniper, urban killerBrick out the window, top of the head Brick on the head 'Cause you're a fuckhead Brick at the window, top of my head",husker du
"Love and hate was in the air, like pollen from a flower Somewhere in April time, they add another hourI guess I'd better think up a way to spend my time Just when I'm ready to sit inside, it's summer time Should I go swimming or get a friend to hang around It's back to summer, back to basics, hang aroundGetting drunk out on the beach, or playing in a band And getting out of school meant getting out of handWas this your celebrated summer? Was that your celebrated summer?Then the sun disintegrates between a wall of clouds I summer where I winter at, and no one is allowed thereDo you remember when the first snowfall fell When summer barely had a snowball's chance in Hell?",husker du
"I look at your house I wonder what goes on inside When you have to cry yourself to sleep at night Your parents fight You don't know who's wrong or right Have to cry yourself to sleep at nightA broken home, a broken heart When the two of them will have to part Broken home, broken heart Now you know just how it feels To have to cry yourself to sleep at night",husker du
"Got something to say like something to me well just go ahead and spit it out It's all the same, you see What's that, it doesn't make sense Are you talking in tongues or is your brain out of gear I can hear it rattle in your headI can see you lips move Blah Blah Blah but all I hear isGot something to say Like something to me Well just go ahead and spit it out It's all the same, you see It's coming out better but it doesn't make sense Is that a head on your shoulders or something you use for ornamentation",husker du
"It's a one-horse town One big desert Asphalt desert Asphalt jungleBeyond the threshold, beyond the thresholdChange for the worse Change nonetheless Hey hey hey Got no place to stayI hear machines They burst at the seams But tar and feather All stick togetherGreetings from home I wish you were here Hear what I say but You can't hear me at all",husker du
"Big sky, what a place Big town, big dealBig sky, blacks and whites Shove that tape deck up your assBig sky, big town Big wheel, big deal",husker du
"I can walk the bed of nails I'm not the only one But some, they cannot walk the jagged line Callous, concentrating For nails are sharp as lies I run the jagged lineFrom years and years of practice I know just how to stand Alone with perfect balance, hand in hand Prepared with boards and hammers And several bags of nails I could build a wall to lean on Roof above my mind I can see you've got your own plans Please don't drive your nails into this heart of mineI can walk the bed of nails Grin and bear the pain But some, they cannot deal with all these things Always sacrificing For lies are sharp as nails And all the pain it bringsSometimes I just pretend that all the lies are true And I know I might depend on you But if my concentration breaks I'm washed away with pain And then my feet begin to bleed upon my only bed of nails And I'm stuck here in the middle of a sea of lies Inside my bed of nails",husker du
Now you look like you just got back from somewhere Somewhere yeah you know that it's true Together we went nearly to nowhere Nowhere really worth going to Standing at the city center In the middle of the winter I was waiting for you and you were dueWhen I got back you said you were leaving Leaving you said right away And coming back for the sake of retrieving Things you'd forgotten on that day Still now my eyes are burning With the sight of your returning Everywhere I look I'm finding you I remember youFamiliar places that we turned into gardens Somewhere yeah you know that it's true I'm begging you now a thousand pardons For all of the wastelands we've been through I remember asking whether Or where we could be together You smiled at me and you said soon,husker du
"When I was younger, worrying about it Trying to make these decisions for myself And I go on to ask myself what's right and wrong about it And I don't really know what makes it, ask yourselfNow I see you, you want to ask me I want you to ask me, I want you to ask me What does it matter?  What does it mean? Sometimes I don't know why you want to try and help me I get so confused I start to fall over backwards Then I ask this to myself, and see within myself And wonder what it means, and ask these questions to myselfNow I'm a little bit older And I'm not a hell of a lot wiser So I've gotta sit down and contemplate itShould I talk to the mirror, should I talk to a wall Should I even talk at all Would a little tiny bit of action Would it make it even seem to matter anymore I guess it matters just to youAll this I've done for you",husker du
"Got these little pills To curb your appetite Take a couple of these You'll be up all night I can scream, I can jump, I can shout I can tear the whole place down When I take a couple of these I don't want you aroundAll tensed up, did too many pills Wanna get near you but I can't stand stillBaby, I love you, but I'm too loaded To love you properly",husker du
"You're looking for a chance to give your mind a rest Now please correct me if I'm wrong The story goes that I'm not terribly impressed I guess I've known it all along Walk, walk away, keep on walking awayFigured it out that I'd been wasting all my time And time was eating at my soul Now I find comfort only somewhere in my mind Free to pursue another goal Walk, walk away, keep on walking awayI can be fine, I can be free I can beautiful without you torturing me Walk, walk away, keep on walking away GoYou can live at home now You can live at home now",husker du
"On a date with Sharon Tate I'm gonna pick her up in my new crate well we go to the movies we go to a drag the highway patrol puts us both in a bagwheels, wheelsstatue of mary sitting on my dash mother please protect me help me avoid the crash I've got a really big engine and itgoes vroom, vroom could be a cradle, could be a tomb",husker du
"Here we go with politics It's so fucked, it makes me sick He's a socialist, you're just thickTell me you're an anarchist What's that swastika in your fist You're naive, you're naive You don't know who to believe",husker du
Running around like an insane maniac Anywhere that you please Taking advantage of anyone handy To satisfy your diseaseYou're a soldierGoing off on a big adventure You never want it to end Saving up a million stories To tell to all your friendsYou're a soldierKnocking over everything that's standing in your way Can you tell me just how many did you kill todayYou're a soldierPatrolling the world with your little boy face And a grown up gun that shoots You got a fresh scrubbed teenage outlook on terror And a khaki attitudeYou're a soldier,husker du
"He lives in his imagination, with those friends of his very own He doesn't get along with the outside world, he'd rather be alone Sometimes, when it's late at night, he starts to wonder why (The plans he made can never happen, so all he does is cry).His parents, they can't understand why their son, he turned out wrong He runs away from all the pain and forgets them when he's gone He'd rather be all by himself because his plans, they seem the best. He finally gets the nerve one day and now life becomes a test.Mom and Dad, I'm sorry Mom and Dad, don't worry I'm not the son you wanted, but what could you expect? I've made my world of happiness to combat your neglect.",husker du
I was talking When I should have been listening I didn't hear a word that anyone said It might not have been so very important 'Cause I was concerned about instead (with)What's going on What's going on What's going on inside my head,husker du
I'm down again And I don't know how to tell you But maybe this time I can't come back Because I might be too far downI wish for real That I could turn it on and off Like hot and cold and up and down Because I'm down againI'm too far down I couldn't begin to smile Because I can't even laugh or cry Because I just can't do itIf it was so easy to be happy Why am I so down? All I can do is sit and wonder if it's going to end Or if I should just go away foreverWhen I sit and think I wish that I just could die Or let someone else be happy By setting my own self freeAnd you don't want the emotion Because the taste it leaves is for real But nothing's ever real until it's gone And I might be too far downAnd is this just another thrown away Or is this the end of the whole stupid road But you wouldn't want to know how I feel anyway Because the darkest hole is at the end of the roadI'm down again And I guess I'm not the only one who dreams That there's not any way to tell you Because I might be too far down,husker du
"You never used to care for fancy new obsessions You never used to have a reason to be bored Now you indulge yourself with new ways of possession Now you indulge yourself and your feelings are ignored And you're coloring your life with too much spiceThere was a time, there was a place, there was a reason There was a situation comfortable for you You've tasted everything in this here bag of season But now you're bored and you've run out of things to do And you're coloring your life with too much spiceYou don't see anything your eyes are so revealing They're sharply focused on looking for a thrill You've turned so numb you never notice any feeling Your thoughts are dead and you've still got some time to kill And you're coloring your life with too much spice",husker du
"Several times I've tried Everything to make you feel all right (Turn it around) Is anything working? Several times I've died inside And then I see you get uptight (Turn it around) We gotta get back Turn it aroundI've got time on my side And you've got time on your side Now it's only time to decide Which side you're on We've tried everything in sight To make it turn out all rightNow is the only time Now is the only time Now it's time to try to turn it aroundSeveral times I've wished That everything would slip into a void (Turn it around) Does it even matter now? It's time to figure out The things we want, and things that we'll avoid (Turn it around) We gotta get back Turn it aroundI don't grab for straws anymore And you don't sink your claws anymore But the more I think The less I really know about myself We gotta turn it around Before it goes into the groundSeveral times tried to turn it around Several ways tried to turn it aroundThere's several morals and there's several plays Several parts that anyone can try It's enough to make you cry I may not think that I'm right But I know the things I've got Are gonna turn out all right We gotta get back, turn it aroundI may not be anything And you might be the biggest thing But the biggest thing to me Is making this thing work for life We gotta turn it around Before it goes into the ground",husker du
If there's one thing that I can't explain Is why the world has to have so much pain With all the ways of communicating We can't get in touch with who we're hatingSo turn on turn on turn on the newsI hear it every day on the radio Somebody shoots a guy he don't even know Airplanes falling out of the sky A baby is born and another one dies Highways fill with refugees Doctors finding out about disease With all this uptight pushing and shoving That keeps us away from who we're _loving_,husker du
"Well, you get up every morning And you see, it's still the same All the floors and all the walls And all the rest remains Nothing changes fast enough The hurry, worry days It makes you want to give it up And drift into a hazeRevelations seems to be another way To make the days go faster anywaysWe're all exchanging pleasantries No matter how we feel And no one knows the difference 'Cause it all seems so unreal You'd better grab a hold of something Simple but it's true If you don't stop to smell the roses now They might end up on youExpectations only mean you really think you know What's coming next, and you don'tYearbooks with their autographs From friends you might have had These are your important years You'd better make them last Falling in and out of love just like... These are your important years, your lifeOnce you've seen the light, you finally Realize it might end up all right It might end up all right now",husker du
"You think you've made it to the top because people know your name, It's still the same Your daydreams aren't forever, better get your shit together For a new gameBack to your day job Back to your girlfriend Back to your hometown The biggest liePassing harsher judgement, but you brought it on yourself By being you You trade your work for no success, you tried to be a hero But you end up nothing",husker du
There's a girl who lives on Heaven Hill I go up to her cabin still She keeps a lantern lit for me And a bottle up on her mantelpieceShe's the girl who lives on Heaven HillShe's got a big room and it's always a mess Worn out shoes and a worn out dress A worn out smile that she'll wear some more And a worn out welcome mat by her doorI'd trade big mountains and rooms full of gold For just one look at the beauty of this woman's soul Up on Heaven Hill is where I wanna be That girl that bottle that mattress and me,husker du
"I see you walking down the road And the thoughts within my mind explode But having to hold back taught me a lot about control And letting it all loose at once when it was time to let you know You occupied my space and you occupied your mind By jumping off the roof to the first conclusion you can findNow all the silver you can steal Can't buy a piece of what I feel It's sad but the means they just don't justify the ends To be forever haunted by the ghosts of all your friends Painful, yeah that's the way you've chosen it to be C'mon man can't you think of anyone besides me?These are the termsNow don't think you're the only one who is harbouring a self hate I'm just as guilty of selling what my own sweet soul creates Now don't feel bad the next time my memory comes creepin' You've got your own bed now, I suggest that's the one you sleep inGoodnight baby",husker du
I see the sun and I see the calendar The days go floating by so slowly in a blur I read the numbers and I discard everyone I burn my fingers on the pages of the sunI'll tell you why tomorrowMoonlight pulling all the water to the beaches Soaking time into everything that it reaches Turn it upside down and count the spilling sand Seize the moment with a minute handI'll tell you why tomorrowMen and animals are floating through the sky Every month or so a new one passes by Forming circles 'round the planets in the air Find a newspaper and it is printed thereI'll tell you why tomorrow,husker du
"You've seen it all before You think it's passe but you listen to the same fucking records every single day you don't like the people who caught on late if they're having fundon't participate, be lethargic you're a hypocrite, you're the target",husker du
"Sunshine SupermanSunshine came softly through my window today I could have tripped out easy but I've changed my ways. It'll take time I know it, but in a while... You're gonna be mine and I know it, we'll do it in style.Cause I've made my mind up you're going to be mine I'll tell you right now... Any trick in the book, oh baby, that I can find. Everybody's hustling just to have a little scene. When I say we'll be cool, well, I think that, you know what I mean. We stood on a beach at sunset, do you remember when... I know a beach where baby, it never ends.When you've made your mind up forever to be mine. I'll pick up your hand and slowly, blow your little mind. Cause I've made my mind up you're going to be mine I'll tell you right now... Any trick in the book, oh baby, that I can findSuperman or Green Lantern ain't got, nothin' on me. I can make like a turtle and dive for pearls in the sea You can just sit there thinkin', on your velvet throne About all the rainbows you can have for your own.When you've made your mind up forever to be mine.I'll tell you right now... I'll pick up your hand and slowly, blow your little mind.When you've made your mind up forever to be mine. I'll pick up your hand and slowly, blow your little mind.I'll tell you right now...",husker du
"Looking outside my window And all I see is grey I'm watching the clouds roll by every day And we make a reservation You say you'll be on time I say,  I might be a little lateWell, I pull it together and brush my teeth Comb my hair I stop to think and I can see you there I think of the times you've waited Just for me to care I care about youChecking the clock inside The room we call our own I see that I'm late, I should get going Hop on a local transit Spending all my change And I can still hear the telephoneI wanna go back, but I'm halfway to The place where we will meet And I'm half dead on my feet And once I get there, I see Everything's the same Here comes the rain You left me standingI should have guessed that you'd stand me up Why did I even go, now And I guess it goes to show The snow may well thaw out, but it Goes right down the drain You left me You left me You left me You left me You left me standing in the rain",husker du
"Something I learned today Black and white is always grey Looking through the window pane I'm not inside your brain Something I learned today Yield to the right-of-way Stopping at a 4-way sign Someone else's rules, not mineSomething I learned today Never look straight in the sun's rays Letting all the sunshine in Can't remember where I've been",husker du
"Time heals, time goes on and time really flies Time hurts and time can cut you, cut you down to size There's no need to touch you now, no, I'm doing fine Life too can cut you and I've cut you out of mineYou're making me... Sorry, sorry somehow Sorry, sorry somehowThere's no need to talk to you, well to know what's on your mind There's no need to see you either, no, I'm just being kind You want me to beg forgiveness, tender an apology It's not my fault and you're not getting one from meNow I guess it's your decision now you decide Take me to the cleaners baby, take me for a ride Who ever cares for your affairs will sort it out for you Send me a subpoena baby tell me what to doI don't have to think about you, think about the past Those days stand out in my mind and those days were the last I know the time is coming and I'm waiting for the day I'd give you everything in the world just to get it out of the way",husker du
There was no one all around There was no one there but me I was staring out a window I was standing by the seaThe waves kept on repeating Each one crashing to the shore And my footprints nowhere leading As they disappeared once moreYour senses are bombarded By the roaring that you hear In a shell you can hear the ocean When you put it up to your ear,husker du
"Searching for the truth but all I ever find is lies Trying to find identity but I just find a disguise Looking at the nightmare when I try to see the dream Finding a reality as perfect as it seemsSomewhere the dirt is washed down with the rain Somewhere there's happiness instead of pain Somewhere satisfaction has no name Somewhere I can be the sameLooking down on everything it seems a total bore Missing all the people that I've never met before Trying to find an unknown something I consider best I don't know if I'll find it, but until then I'll be depressed",husker du
"Well the kids are all hopped up and ready to go They're ready to go now They got their surfboards And they're going to the Discotheque Du Go Go But Sheena just couldn't stay She had to break away Well New York City really has it all Oh ya, oh ya.Sheena is a punk rocker Sheena is a punk rocker Sheena is a punk rocker now. She's a punk punk, a punk rocker Punk punk, a punk rocker Punk punk, a punk rocker.",husker du
"I can see her loading boxes in my mind Into a belvedere with a trailer pulled behind Well things didn't go exactly as they planned She's a woman and now he is a manThere's a vacancy between them everyday And a sense of guilt that's not going away When they get older perhaps they'll understand She's a woman and now he is a manAnd now he's into something that her heart cannot forgive She's saying to herself,  No, this is not the way to live He'll never listen to her 'cause his mind is like a sieve Oh brother!  Oh brother!  I'm telling your sister No way can I resist herWith a guilty feeling hanging in their brain And the two of them are potentially insane Well they've had enough which is more than they can stand She's a woman and now he is a man",husker du
"With her grandmother's face and her father's brown eyes Her own force of will to her mother's surprise A whole look about her that says that she may She lifted her arms and she floated awayShe floated away, she floated away She lifted her arms and she floated away She don't give a damn what the other girls say She lifted her arms and she floated awayLet me talk to you mother,  she tried to confess Go ahead honey and wear the white dress Don't let traditions go stand in your way She lifted her arms and she floated awayWell a man has two reasons for things that he does The first one is pride and the second one is love All understandings must come by this way She lifted her arms and she floated away",husker du
"People talk about anarchy And taking up a fight Well I'm afraid of things like that I lock my doors at night I don't rape, and I don't pillage Other peoples' lives I don't practice what you preach And I won't see through your eyesYou want to change the world By breaking rules and laws People don't do things like that In the real world at all You're not a cop, or a politician You're a person too You can sing any song you want But you're still the sameI can't think of anything That makes me more upset People talk all this rhetoric Forgive but not forget I don't rape, and I don't pillage Other peoples' lives I don't practice what you preach And I won't see through your eyes",husker du
"Take a look around this bar take a look around this place take a look around this hall Think it's a fucking gym? Kick and punch and kick and punch and kick and punch and kick and punch Who's your friend? Who's your friend? Who's your friend? Who's your friend? Your enemy.Take a look around this bar take a look around this place take a look right in the mirror What are you a fucking queer? Kick and punch and kick and punch and kick and punch and kick and punch Who's your friend? Where's your friend? He's over there, he's gonna fuck it up for everybodyKick and punch and kick and punch and kick and punch and kick and punch Who's you friend? Who's your friend? Where's your friend? I guess he'd rather be punch drunk",husker du
"Hear the sirens in the afternoon Enemy missile gonna hit us soon Casualties will be gigantic Run down the street and panicPush the button baby Freak out, overreact Push the button baby Attack Attack Attack AttackLiving underground is no fun Can't talk to anyone Ain't got no outside influence Staying alive by civil defenseTurn your TV to a defense station They'll provide emergency information Hide in a cave if you know what's best Announcer says,  No, this is not a test",husker du
"You ask how far the farthest star is To go by bus or to go by car is Way too far, you couldn't say You won't get there anywayHe says it takes a private plane But you could never get back to your feet again Unless you break the ball and chain He says  Now, it's a private planeWith all these places in your mind There's no reason you have to find Your private plane Don't play that game",husker du
"I never look back at it, but it's always in front of me It's always worth the hurt, but I know it's hurting me I'll never let go of it because it's all that's going for me I'll put it in the past when the past is historyA perfect example is all the things it's done to me I think I might lose my mind, but not my memory A perfect example is what we all wish we could be I think I might lose my mind I think I might lose my mind You think you might lose your mind But not the memory, means a lot to me",husker du
"What's this humming in my head Was it something that someone said It's connecting us with them Electric wires turned on againIt aggravates, and it pacifies Hear the power in the linesStrung high on every pole How can this power be bought and sold? Trying to harness solar rays Making minutes seem like daysIt captivates, and it hypnotizes Hear the power in the lines Powerline",husker du
"Why did you back me into a corner? I didn't mean it, it was just an act My friend's outside, can't he come in? And everybody elseStupid pride, selfish pride, stupid pride Why does everybody have to be like that?Out!   Just an act. His parents love him, they send him money But he won't come backNo reaction, no response. Forget him, just forget him.",husker du
"Tell us we're obnoxious you can't sell our product who asked you to? say we play too fast the music's not gonna last well, I think you're wrongYou don't like the way we look obnoxious you don't like the way we talk obnoxious you can all go get fucked obnoxious",husker du
"I'm goin' out Out on a limb It's getting pretty thin It's gonna fall downSaw all my friends They were all hanging out on a limb Yeah, and I get that limb breaks They're gonna fall down",husker du
There are things that I'd like to say But I'm never talking to you again There's things I'd like to phrase some way But I'm never talking to you againI'm never talking to you again I'm never talking to you I'm tired of wasting all my time Trying to talk to youI'd put you down where you belong But I'm never talking to you again I'd show you everywhere you're wrong But I'm never talking to you again,husker du
Can you feel it feel it feel it In your soul Can you tell me Tell me if it's hot or coldCan you tell me what it is Does it hurt you when I do thisStop it stop it stop it You're pulling too hard Stop it You're going too farI love it I hate it I love it I hate it too I love it So how about you?Can you tell me 'cause I don't know Why don't you tell me why is it so Confusing!,husker du
